Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
443,11264010,5,4,370,11595,219,0,74.0,97.9,5792,0,2898.75,2896.0,1062.15,0.799,1251556.0,2162638.0,6903251,3,11264010,2816002.0,3450337.0,6903251,102,6903521,2301173.0,3985538.0,6903521,3,0,0,0,0,168,132,0.444,0.355,0,5792,1259.5,2136.9,4566333.0,0,0,0,1,1,0,0,0,0,1326.1,74.0,2898.75,168,0,0,0,0,0,0,5,370,4,11595,8192,2052,2,32,0,0,0,0,0,0,0,0,BENIGN
80,34,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,352941.17,58823.52,34.0,0.0,34,34,34,34.0,0.0,34,34,0,0.0,0.0,0,0,0,0,0,0,40,0,58823.52,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,256,0,1,20,0,0,0,0,0,0,0,0,BENIGN
53,1053,2,2,80,244,40,40,40.0,0.0,122,122,122.0,0.0,307692.3,3798.6,351.0,273.5,622,3,1050,525.0,212.1,660,390,431,431.0,0.0,431,431,0,0,0,0,64,64,1899.3,1899.3,40,122,81.0,41.0,1681.0,0,0,0,0,1,0,0,0,1,81.0,40.0,122.0,64,0,0,0,0,0,0,2,80,2,244,29200,0,1,32,0,0,0,0,0,0,0,0,BENIGN
22,2997883,10,8,692,1080,346,0,69.2,109.4,540,0,135.0,190.9,591.0,5.67,166549.0,354395.0,999961,4,2997883,333098.0,499092.0,999961,16,2997858,374732.0,529944.0,999998,11,0,0,0,0,208,164,3.33,2.67,0,540,93.5,139.3,19412.0,0,0,0,1,1,0,0,0,0,103.4,69.2,135.0,208,0,0,0,0,0,0,10,692,8,1080,29200,235,5,20,998554,10.0,998554,998554,1995446,10.0,1995446,1995446,Bot
8080,50111,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,598.67,99.77,12527.75,25055.5,50111,0,50111,12527.75,25055.5,50111,0,0,0.0,0.0,0,0,0,0,0,0,104,0,99.77,0.0,6,6,6.0,0.0,0.0,0,0,0,0,0,0,0,0,0,7.2,6.0,0.0,104,0,0,0,0,0,0,5,30,0,0,1024,0,4,20,0,0,0,0,0,0,0,0,PortScan
4444,102,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,117647.05,19607.84,102.0,0.0,102,102,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,9803.92,9803.92,6,6,6.0,0.0,0.0,0,1,0,1,1,0,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,255,251,0,20,0,0,0,0,0,0,0,0,PortScan
35603,28,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,428571.4,71428.5,28.0,0.0,28,28,28,28.0,0.0,28,28,0,0.0,0.0,0,0,0,0,0,0,40,0,71428.5,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,8192,0,1,20,0,0,0,0,0,0,0,0,DDoS
443,153135,4,4,244,344,122,0,61.0,61.0,172,0,86.0,86.0,3839.6,52.2,21876.4,37886.5,99912,2,153135,51045.0,57731.3,99912,4,153133,51044.3,57732.1,99912,2,0,0,0,0,132,132,26.1,26.1,0,172,65.3,64.2,4121.9,0,0,0,1,1,0,0,0,1,74.0,61.0,86.0,132,0,0,0,0,0,0,4,244,4,344,8192,2052,2,32,99912,0.0,99912,99912,0,0,0,0,BENIGN
80,88039,3,4,18,18,6,6,6.0,0.0,6,6,6.0,0.0,408.9,79.5,14673.1,36021.5,88039,0,88039,44019.5,62253.3,88039,0,88039,29346.3,50828.5,88039,0,0,0,0,0,64,84,34.0,45.4,6,6,6.0,0.0,0.0,0,0,0,0,0,0,0,0,1,7.2,6.0,6.0,64,0,0,0,0,0,0,3,18,4,18,8192,0,2,20,0,0,0,0,0,0,0,0,Infiltration
53331,50105,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,598.7,99.7,12526.25,25052.5,50105,0,50105,12526.25,25052.5,50105,0,0,0.0,0.0,0,0,0,0,0,0,104,0,99.7,0.0,6,6,6.0,0.0,0.0,0,0,0,0,0,0,0,0,0,7.2,6.0,0.0,104,0,0,0,0,0,0,5,30,0,0,1024,0,4,20,0,0,0,0,0,0,0,0,PortScan
